host_since,neighbourhood,city,accommodates,price
15/12/2013,Buttes-Montmartre,Paris,2,50
18/04/2015,Vaugirard,Paris,2,120
11/12/2014,Buttes-Montmartre,Paris,2,60
27/12/2013,Enclos-St-Laurent,Paris,2,75
06/11/2012,Buttes-Montmartre,Paris,2,68
11/10/2011,Buttes-Chaumont,Paris,2,65
10/11/2014,Temple,Paris,2,140
01/07/2013,Menilmontant,Paris,2,55
08/07/2014,Buttes-Montmartre,Paris,2,90
07/08/2019,Pantheon,Paris,2,113
02/09/2016,Luxembourg,Paris,2,110
01/08/2011,Enclos-St-Laurent,Paris,2,103
13/07/2011,Menilmontant,Paris,2,35
05/08/2012,Buttes-Chaumont,Paris,2,60
27/08/2012,Popincourt,Paris,2,90
14/07/2013,Pantheon,Paris,2,105
08/04/2012,Pantheon,Paris,2,80
05/06/2013,Popincourt,Paris,2,99
19/09/2013,Hotel-de-Ville,Paris,2,140
24/04/2012,Menilmontant,Paris,2,120
10/03/2014,Batignolles-Monceau,Paris,2,80
17/03/2014,Temple,Paris,2,58
04/03/2014,Popincourt,Paris,2,89
17/11/2013,Temple,Paris,2,150
10/07/2014,Opera,Paris,2,135
29/03/2014,Temple,Paris,2,95
29/07/2014,Popincourt,Paris,2,130
10/02/2014,Passy,Paris,2,105
17/11/2014,Buttes-Montmartre,Paris,2,217
24/11/2014,Pantheon,Paris,2,68
10/04/2014,Batignolles-Monceau,Paris,2,168
11/01/2015,Pantheon,Paris,2,125
09/02/2015,Luxembourg,Paris,2,95
26/05/2013,Popincourt,Paris,2,90
15/06/2011,Vaugirard,Paris,2,75
15/04/2013,Opera,Paris,2,50
22/01/2015,Bourse,Paris,2,88
19/04/2014,Opera,Paris,2,110
25/04/2015,Passy,Paris,2,99
05/05/2013,Buttes-Montmartre,Paris,2,100
20/05/2015,Reuilly,Paris,2,75
17/02/2012,Enclos-St-Laurent,Paris,2,79
08/06/2014,Temple,Paris,2,30
14/12/2014,Reuilly,Paris,2,85
22/10/2014,Vaugirard,Paris,2,89
23/05/2015,Passy,Paris,2,200
09/07/2015,Luxembourg,Paris,2,70
28/05/2013,Popincourt,Paris,2,50
23/07/2015,Popincourt,Paris,2,25
18/05/2015,Vaugirard,Paris,2,91
05/10/2014,Buttes-Chaumont,Paris,2,143
27/11/2012,Enclos-St-Laurent,Paris,2,75
24/08/2015,Hotel-de-Ville,Paris,2,45
27/02/2014,Vaugirard,Paris,2,120
12/06/2014,Opera,Paris,2,70
04/10/2013,Enclos-St-Laurent,Paris,2,75
17/09/2014,Popincourt,Paris,2,69
12/10/2015,Buttes-Montmartre,Paris,2,90
28/04/2015,Popincourt,Paris,2,39
24/10/2015,Passy,Paris,2,71
24/03/2013,Enclos-St-Laurent,Paris,2,45
15/08/2014,Buttes-Montmartre,Paris,2,65
11/11/2015,Buttes-Chaumont,Paris,2,54
09/01/2013,Popincourt,Paris,2,52
04/01/2016,Temple,Paris,2,80
09/01/2016,Menilmontant,Paris,2,65
15/01/2016,Elysee,Paris,2,99
23/07/2014,Temple,Paris,2,89
21/12/2014,Enclos-St-Laurent,Paris,2,95
01/03/2016,Elysee,Paris,2,160
21/07/2015,Buttes-Montmartre,Paris,2,135
19/03/2016,Vaugirard,Paris,2,65
29/03/2016,Buttes-Montmartre,Paris,2,60
23/09/2014,Popincourt,Paris,2,130
30/03/2015,Pantheon,Paris,2,50
19/04/2016,Bourse,Paris,2,60
13/03/2016,Temple,Paris,2,90
01/02/2013,Popincourt,Paris,2,46
31/07/2013,Opera,Paris,2,60
19/06/2015,Vaugirard,Paris,2,48
19/11/2013,Enclos-St-Laurent,Paris,2,70
22/07/2016,Popincourt,Paris,2,41
30/07/2016,Popincourt,Paris,2,102
11/02/2016,Buttes-Montmartre,Paris,2,42
03/04/2014,Popincourt,Paris,2,60
07/05/2013,Observatoire,Paris,2,58
18/11/2016,Louvre,Paris,2,123
04/04/2015,Buttes-Chaumont,Paris,2,29
19/01/2016,Batignolles-Monceau,Paris,2,59
13/06/2017,Menilmontant,Paris,2,55
14/02/2017,Elysee,Paris,2,78
11/08/2012,Opera,Paris,2,60
10/06/2015,Luxembourg,Paris,2,75
08/06/2014,Passy,Paris,2,150
05/09/2017,Passy,Paris,2,134
13/02/2016,Menilmontant,Paris,2,69
19/09/2015,Reuilly,Paris,2,100
01/11/2015,Buttes-Montmartre,Paris,2,60
01/02/2016,Elysee,Paris,2,110
07/01/2018,Menilmontant,Paris,2,74
06/05/2015,Buttes-Montmartre,Paris,2,80
06/02/2014,Opera,Paris,2,100
13/11/2011,Popincourt,Paris,2,100
06/05/2013,Popincourt,Paris,2,55
31/05/2016,Opera,Paris,2,100
09/05/2012,Popincourt,Paris,2,100
30/06/2011,Popincourt,Paris,2,110
19/07/2018,Palais-Bourbon,Paris,2,70
04/08/2014,Buttes-Montmartre,Paris,2,125
15/03/2016,Observatoire,Paris,2,49
05/09/2018,Popincourt,Paris,2,100
